ID,x,y,r,brightness,ID
421,254,388,18,364.99445061043286,
422,258,188,18,216.60377358490567,
423,716,740,18,9479.134295227524,E.co
424,890,314,17,163.0112923462986,
425,350,640,16,138.02538787023977,
426,288,964,20,9531.40832595217,
427,1258,408,20,151.03631532329496,
428,42,518,18,173.2519422863485,
429,76,298,18,226.85904550499447,
430,334,904,18,162.53052164261933,
431,698,406,18,147.61376248612652,
432,998,306,18,188.32408435072142,
433,520,4,19,152.4585218702866,
434,1382,544,19,127.65700483091787,
435,22,214,18,145.1276359600444,
436,432,756,17,349.56085319949807,
437,82,338,16,319.88716502115653,
438,1186,632,16,277.4330042313117,
439,990,390,20,352.29406554472985,
440,108,552,18,230.43285238623753,
441,494,990,18,155.8490566037736,
442,96,590,18,160.97669256381798,
443,1274,80,16,211.67842031029616,
444,1296,144,19,131.25867195242816,
445,270,780,18,9279.311875693673,E.co
446,1168,104,16,199.04090267983074,
447,418,930,16,201.212976022567,
448,194,4,20,153.00546448087434,
449,576,802,19,154.01387512388504,
450,236,358,18,222.3529411764706,
451,90,764,17,204.2910915934755,
452,172,766,17,403.31242158092846,
453,1386,690,19,100.48710601719198,
454,318,390,18,192.83018867924528,
455,6,670,18,136.20481927710844,
456,106,952,18,412.69700332963373,
457,1366,186,17,182.33375156838142,
458,14,992,16,213.75706214689265,
459,928,316,16,334.4992947813822,
460,8,756,18,181.6528925619835,
461,14,436,16,223.05084745762713,
462,116,442,16,118.47672778561355,
463,1378,408,16,358.3357245337159,
464,558,14,16,123.98305084745762,
465,1074,68,18,8671.609322974473,E.co
466,1384,588,18,109.38129496402877,
467,8,798,17,172.48854961832063,E.co
468,2,918,19,384.5868465430017,E.co
469,6,330,18,244.1566265060241,E.co
470,614,2,17,140.58700209643607,E.co
